system:index,01,02,03,04,05,06,07,08,09,10,11,12,CVEGEO,CVE_ENT,NOMGEO,n_year,.geo
00000000000000000000,10.02817219046441,21.334616988222557,4.833913131745445,4.234071712962707,18.406337103830094,55.69623786951895,189.81952638231724,184.88794155731443,108.51383664455977,56.76326627345987,5.240169891241402,5.6537547023796835,01,01,Aguascalientes,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,28.172532687769564,14.61526451521362,12.686357927717246,6.702464353527497,1.028963378669707,0.39859190451806753,4.967418175979805,8.1050005714565,6.86444663260318,4.734921861950162,10.224237383626745,22.01059872189039,02,02,Baja California,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,8.591830534607249,4.632975705811455,3.239412705731139,0.5546262950850219,0.12547315879402005,0.504348031156241,24.581724436770916,32.901165976788015,50.62707033195114,24.796620239320134,15.33465105646723,50.49008118294706,03,03,Baja California Sur,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,45.50047668691435,32.17821862505703,63.50829506913923,52.576284956019066,79.73195573866644,157.6341007299599,157.43673062875666,200.7099545894227,233.82552280394384,109.77072090259865,78.53872485826912,76.22750722685194,04,04,Campeche,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,14.216422813625567,21.56574160937123,14.301631721026606,28.01673894895187,33.35702934084456,27.236457883413525,111.0653812900166,73.58313010520224,108.12439377482252,28.28016687146635,8.963969176710073,7.811140077349737,05,05,Coahuila de Zaragoza,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,5.778077528088114,6.505189779671918,4.924504839681532,4.314432752959908,7.654164945261193,158.50652457047312,176.49073782989177,258.1581055264618,249.04487660453566,94.87424372286816,6.101346860463283,8.671292645746904,06,06,Colima,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,61.376600964336795,43.03469631352924,58.72420777180724,75.94942503042883,154.4396030474564,313.21393046753906,261.3761846468127,236.71599112417488,336.63863658322435,192.7922245927478,129.99594376703297,85.67478158226758,07,07,Chiapas,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,8.715347040275919,14.573157155082543,9.963873466292664,4.133192618233943,6.843535632579591,36.42089635665187,152.7391423838804,121.34272188274721,98.94828646074028,43.80682361185943,18.525675968263993,46.69555645147329,08,08,Chihuahua,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,10.159414753299615,11.474282702631465,12.354993512626276,51.46191401958627,63.61176637406199,130.47161015287077,212.40893528910124,183.11788550467384,153.43434824187918,81.21743998492548,9.695109272535099,6.701782929030198,09,09,Ciudad de M�xico,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,17.633589503200913,18.276815995027878,6.676200568450346,3.6025532325336105,9.399318671557655,72.74815205031234,225.4334270529736,164.77512190995193,131.56021953239733,53.79396161854679,8.471936974481855,26.554955860792024,10,10,Durango,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,9.197621708163632,10.705802808747984,7.9826368627152675,12.11881717843421,47.932621140478325,72.12447974152684,147.5605228433207,150.80995906598955,89.09989354181087,66.70532014212617,6.042229616262065,5.931547508094859,11,11,Guanajuato,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,6.876279441346818,2.734723952283721,2.327389613026389,7.299072182936502,57.71402170640153,272.12702801283154,217.48118766837965,196.33732145986423,195.10982587128086,142.35816414125472,15.841525394923782,3.4305747873737427,12,12,Guerrero,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,17.798364898692867,29.81063619937143,17.453114273951506,41.22937694615639,52.64362921665237,105.65453173638761,169.61247787189805,173.26034658005307,143.8774653240087,90.4802715239498,24.66487175813617,8.483367677862264,13,13,Hidalgo,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,7.963322837179943,15.870513187392003,5.526632237808863,4.97002739143299,21.128229624018246,183.3571390232036,220.30914512342358,220.8305808709404,185.71395593161475,100.5374863515357,5.8260060354331715,7.185765624109147,14,14,Jalisco,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,10.102948377885465,9.616005228234034,11.442625095193268,34.42340947853798,80.71670820184383,151.58461889672907,211.99385650742892,176.97115284700163,159.4401709945245,108.10110736450737,10.734758162546287,6.318860968009259,15,15,M�xico,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,10.208107842120505,6.693435574332383,4.195434475189389,9.98885128627187,41.703627316552925,203.3910624333555,207.8436941832052,179.90107509171366,179.91779494418782,114.90267003391402,7.730643545695454,8.492554142845346,16,16,Michoac�n de Ocampo,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,4.364197728154245,3.779310303523396,6.5037248788788915,28.971649036172575,85.92489897488294,212.13948428442063,262.25195900093706,169.60566653659413,210.9765094416443,115.4986645632238,13.678994769830517,0.38038062096201447,17,17,Morelos,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011,6.924005322285687,22.79838159473809,4.6927468469478555,1.1274606699014742,1.5121539549388143,178.46584625212893,290.0905956203212,246.39389481621677,246.2085558133319,98.85575371702382,3.7797587001870814,8.568062153411576,18,18,Nayarit,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012,12.974987138969016,32.16769069062232,20.828757181574556,30.154030339081892,47.980749252965296,22.583650936984167,66.77182808510533,62.69393239441789,131.0983484472268,43.905882056252025,11.948534566594816,7.666619421175039,19,19,Nuevo Le�n,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
