system:index,01,02,03,04,05,06,07,08,09,10,11,12,CVEGEO,CVE_ENT,CVE_MUN,NOMGEO,n_year,.geo
00000000000000000000,46.130627558921745,8.69444415683859,6.946098212774879,13.517099784317697,19.560993964325363,90.1043825997815,84.78741885859519,84.38698127358877,61.60604983491619,29.82649423627668,10.111446485918819,13.553039512716673,01008,01,008,San Jos� de Gracia,1981,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,41.26984705653298,4.8933100944438,4.732899967021612,10.171932767060344,21.50456496093194,47.88265930978876,78.10714615813089,37.153796635751625,50.130616995748376,29.07820719097732,6.916152001981401,9.17196237189018,01009,01,009,Tepezal�,1981,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,45.14516376443827,5.635612636096688,4.330227463807018,9.563968033044246,24.57154258278657,58.97720143121099,79.72363369411075,49.115455955373136,60.883393892978546,28.607554016798524,7.0378285520079595,9.523530826981307,01007,01,007,Rinc�n de Romos,1981,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,43.41520877358336,6.487080472260125,5.20988346060779,12.79029883120371,15.789690670355911,67.63084335585626,90.71575094602122,59.6771819267079,52.00172522214764,30.837486960132665,7.577236606568552,9.754448181454707,01006,01,006,Pabell�n de Arteaga,1981,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,36.96329729412154,8.484804031409997,6.75309634296901,19.43785666063814,10.516450155383248,93.77892314572755,89.04950125463525,89.56019384704922,40.958928625268314,30.12624969079731,6.803817962273836,11.020325167569014,01005,01,005,Jes�s Mar�a,1981,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,47.53486420198381,5.6367539023658,3.855256122869338,7.831107280305966,25.07781058149709,51.0720708926238,82.51680739144976,43.729720426321876,62.828764090689674,25.377803435595215,7.901813313838872,8.544381060996242,01004,01,004,Cos�o,1981,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,45.945833682841915,10.822138549215992,7.2868742274667575,13.467222492891507,10.50317365985314,96.77397309528372,110.22363438609989,125.24991554249016,48.46645404742976,38.748599487958046,12.290247146098876,12.050469337195404,01003,01,003,Calvillo,1981,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,34.37234835585927,6.742709514765236,5.491526583972865,18.719387951747677,14.134545218363042,54.679684040943776,48.825492090568325,37.48412111728658,37.88440110508989,27.92226568160019,5.1128556466805275,9.264514686736636,01002,01,002,Asientos,1981,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,34.88093763041379,9.341597592992247,6.65717998333062,18.67676074239033,10.959118865723374,68.48716113197756,85.95801430808629,87.22110227685752,43.0783691986138,27.70139495877649,6.0150347271235045,10.140889196706073,01001,01,001,Aguascalientes,1981,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,29.610169384220455,8.134296165864216,5.993840079594479,19.153872458845978,12.399038353075616,48.73638656366915,50.43444913490403,56.49846081676426,35.564866000186626,27.85722806665481,4.255247383409853,8.896496872899817,01010,01,010,El Llano,1981,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,46.95618717300082,7.539302451903767,7.26748191321745,20.165760909372935,16.42678355900601,66.16791962149844,83.85527451138665,64.9010637095831,46.30766444279538,33.529205776534035,8.137376009983925,9.317638089886376,01011,01,011,San Francisco de los Romo,1981,"{""type"":""MultiPoint"",""coordinates"":[]}"
