system:index,01,02,03,04,05,06,07,08,CVEGEO,CVE_ENT,CVE_MUN,NOMGEO,n_year,.geo
00000000000000000000,10.065739595648074,24.167049694343063,1.3227089507292806,2.783301385339617,7.848390453494873,97.77152819389947,203.1705738460724,73.1052420261562,01008,01,008,San Jos� de Gracia,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,12.263515556624178,15.854663806627018,1.8919489290880038,2.280228149093003,7.622970407594116,93.35320647787437,242.62472952569186,21.291481046825435,01009,01,009,Tepezal�,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,13.959037308348899,18.7228174740161,1.7590174421207927,2.1822502572806872,8.47146909667901,91.46016411321851,225.93866490836388,30.837637086560388,01007,01,007,Rinc�n de Romos,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,8.18599292930407,22.18674847448296,1.3086087484268196,2.6171987347582486,7.046870787018507,99.16613679520256,222.27577219219413,44.21668110337721,01006,01,006,Pabell�n de Arteaga,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,6.497291360419972,22.552840111668985,1.660940563803916,3.4818899531892833,4.964704508802472,97.76795153370162,194.02023800064987,76.98480487650824,01005,01,005,Jes�s Mar�a,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,18.75250219730101,17.790061159079155,1.6249041843224754,1.9251559134241982,8.815981486035122,92.71676744727466,251.98136964577253,20.01326905146847,01004,01,004,Cos�o,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,6.872263692732368,26.43259029977809,0.454003445901764,2.864472605224873,5.283031409654936,108.08122756441509,183.5409987916507,122.68456684743983,01003,01,003,Calvillo,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,8.926745616844517,16.797653120780385,0.5223658086565452,3.7250461250664757,7.332540898179499,80.59631295120111,191.51359194129464,24.192844620940654,01002,01,002,Asientos,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,6.238058176436422,19.55504634308993,0.9770544450694524,3.2356006597450917,6.316129450567931,86.66558709068268,207.30813087275482,74.1062386241116,01001,01,001,Aguascalientes,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,6.4947532493754965,15.143796663965352,0.4013277558022354,2.78234442672369,6.742602259154317,72.261869040995,188.91893485214104,36.831823939297834,01010,01,010,El Llano,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,8.606503863502477,27.75214749362477,0.6760077764879924,3.728317420308789,7.177632943277993,98.14578614212446,232.06815331499163,50.21707600077862,01011,01,011,San Francisco de los Romo,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,21.947784897071923,13.284162834835683,21.29719288324522,3.7440437237816986,1.2268402695948073,0.2632516954509518,2.788092643702387,5.817738353168143,02007,02,007,San Felipe,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,77.93174432652063,79.20289682309726,62.66587225583224,15.54910939354425,1.9801314887833168,0.6562448531739525,0.0,3.403665346562156,02004,02,004,Tijuana,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,82.68621498825902,61.627844165012085,49.04319361598659,16.55317746541712,2.7391958901569646,1.3243491691837472,5.132235625876143,10.594971625376635,02003,02,003,Tecate,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,33.29617503934034,9.736099836145476,12.428364492117597,2.4466866160797234,1.216419072967622,0.5332182580127427,2.344260842985967,6.5253593031182495,02002,02,002,Mexicali,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,17.59350866911616,14.149694704971724,20.024772414034747,4.582380940122814,0.8046118416183801,0.14864812964160248,0.7587951037638104,5.170071656190072,02006,02,006,San Quint�n,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,78.83615425950144,72.91187792393664,68.7014278739262,16.272323913006556,2.08563766579466,0.673865759536373,5.620232825399644,10.06443283686727,02001,02,001,Ensenada,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011,61.98868162247255,58.40388263862464,43.072192387726645,10.73909194642419,2.0090071611320606,0.6612285304721047,0.0,2.490013961360238,02005,02,005,Playas de Rosarito,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012,7.3841557042943045,4.044231038713957,1.5448564158410976,0.859805519051762,0.8121850387816345,3.192861775058795,9.95294985193028,24.257585935738607,03008,03,008,Los Cabos,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013,6.72359113714028,9.850562772542366,2.435532454202463,0.255410748015274,0.2420400300314741,0.6571542351659961,4.134179006876654,9.98455301273708,03001,03,001,Comond�,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014,6.408874362643828,4.634773372249324,2.014064479152808,0.5013440694404256,0.5868496488254782,1.9509520639667992,8.101516153423393,14.15474652413089,03003,03,003,La Paz,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015,7.2975911133048,10.886871358358759,2.4600622719166334,0.1899287985362582,0.6143245207509151,0.7350444716457681,8.024429925404428,16.836078566983364,03009,03,009,Loreto,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016,8.103861821319247,11.189820951358799,6.577689340159101,0.7542292942687723,0.3908114090727841,0.3808821267673368,1.4322986920505272,10.684069579539797,03002,03,002,Muleg�,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
