system:index,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,CVEGEO,CVE_ENT,CVE_MUN,NOMGEO,n_year,.geo
00000000000000000000,5.804631790982797,0.9418815965367002,0.7837445705646664,2.535481637563913,0.0,0.4100004974580375,23.757049196885028,0.0,1.1007191275015769,0.22198982322770427,0.0,0.0,0.0,0.008007112042432823,0.7968867937961555,0.12414412501383908,1.8542633544871892,0.0,3.4468861655289085,1.5228810661191696,0.0,2.878623221846793,0.0,6.570229496265146,60.90657536895279,30.294723328681556,01008,01,008,San Jos� de Gracia,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,6.136746238447629,2.05314283357157,0.0,3.883715033905337,0.1899114506996409,2.9651620343133254,12.889501772313691,0.0,0.7226914980024718,1.169257431085532,0.0,0.0,0.0,0.0,0.6484744973412797,0.08949875028984722,1.5422549014618754,0.0,3.628581606697081,1.225259852259872,0.10204044014632788,2.6670885084908345,0.0,4.291740865916908,37.71654029378333,51.34492531817412,01009,01,009,Tepezal�,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,3.4472611367387196,0.7214889575895402,1.0699001112146107,1.2561030438326257,0.5844333285877614,0.0,14.559363335377588,0.0,0.32068065103781446,0.0,0.010459446607509429,0.07018765815691143,0.0,0.0,0.3299089095019279,1.343707268369968,1.108728248851794,0.0,1.19021007860708,0.8771650151674184,0.0,4.675227165379819,0.0,2.936758341498798,49.25451147206849,20.070599227427707,01010,01,010,El Llano,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,4.87903163208352,1.4588944709416731,0.15176562313894626,1.9472650886546448,0.5553902261272604,0.0,27.366304316181203,0.0,0.3026710741921151,0.37333670229587745,0.0,0.0,0.0,0.0,1.184206202716648,0.25626981152299927,2.287841406069142,0.0,2.331536469239633,0.9676697160144453,0.0,3.8784267580239136,0.0,4.98684335627498,52.35627136569964,40.80267142014982,01011,01,011,San Francisco de los Romo,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,3.424951975419122,0.920611222385905,0.9956612329917264,0.8402077223410039,0.5298609005393259,0.0,19.081811465849263,0.0,0.9566371106564339,0.0,0.0,0.020417334413018653,0.0,0.0,1.1610902094895799,0.14985626892717616,1.9246541813283358,0.0,0.7933490404012141,0.5597209924043195,0.17113300640031073,4.791926411362085,0.0,3.13681169164465,43.39273728301118,40.13603811602685,01001,01,001,Aguascalientes,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,5.2251188978552845,1.4311751333072904,0.158648299783226,2.0939970929569354,0.9367203211154397,0.8772466827214251,15.0014923098853,0.0,0.09721145199808649,0.42515435665845885,0.0,0.0,0.0,0.0,0.60072781128612,0.9247587258132492,2.199559587967105,0.0,2.831143204819382,0.8958740269265525,0.07616025299984751,3.5293634134337193,0.0,3.6732424989296435,44.45972480987147,32.46334564239999,01002,01,002,Asientos,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,4.45219393912826,1.0091298182408825,0.25398897472892196,1.156950960634304,0.0,0.6089787225217591,25.823611577256337,0.0,0.454003445901764,0.0,0.0,0.0,0.0,0.0,1.1617033976832627,0.0,1.7027692075416103,0.0,1.565952607505207,1.1389616164318914,0.0014795289921677426,2.5766376567256697,0.0,5.038122924023586,47.644063607995946,55.39904103239553,01003,01,003,Calvillo,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,9.523958419321284,1.9138635467514133,0.3385198709716225,6.956619303081146,0.019541057175545308,5.8805554452296285,11.909505713849525,0.0,0.5533096228229283,0.9839938393540603,0.0,0.08760072214548664,0.0,0.0,0.03821092714331525,0.3417039916985553,1.545240994582328,0.0,3.418306477183588,1.4307686869813894,0.0,3.9669063218701437,0.0,4.210380113286778,30.277010317826022,58.22937701616188,01004,01,004,Cos�o,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,4.260049822796019,1.1672117281721786,0.1590632708798145,0.9109665385719596,0.03376314909571084,0.1579281035760772,22.361148858997193,0.0,1.660940563803916,0.0,0.0,0.0,0.0,0.0,1.441313720979895,0.0,2.0405762322093888,0.0,1.5151329598022525,0.9730220270460476,0.0,2.476549521954172,0.0,4.919251984666675,47.52582560169367,45.32287394734128,01005,01,005,Jes�s Mar�a,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,4.731673965408329,1.1400457077414083,0.13534648986538542,2.0479777081075996,0.13094905818134697,0.44499363231497385,21.741754842167985,0.0,0.7604791484836264,0.5481295999431933,0.0,0.0,0.0,0.0,0.8578069955257793,0.010882975488379472,1.748508763744089,0.0,3.1221306456272915,1.1455216472731815,0.0,2.779218494118034,0.0,5.158489951823831,47.89566960542098,46.11197723795773,01006,01,006,Pabell�n de Arteaga,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
