cve_ent,nombre_estado,date_year_month,n_year,n_month,pr_mm,anomaly_pr_mm,anomaly_pr_prop
01,Aguascalientes,1981-01-15,1981,1,39.96619622190476,23.07435067902395,1.3660053083275323
01,Aguascalientes,1981-02-15,1981,2,8.383341943185135,0.798575791706905,0.1052868045973002
01,Aguascalientes,1981-03-15,1981,3,6.304948298765348,1.8433379911385925,0.41315531031196473
01,Aguascalientes,1981-04-15,1981,4,15.74479360058391,9.380834264858287,1.4740562863431115
01,Aguascalientes,1981-05-15,1981,5,14.599693791150377,-6.124904159325796,-0.29553790013017206
01,Aguascalientes,1981-06-15,1981,6,73.68317635855435,-15.318055340908444,-0.17211059946489374
01,Aguascalientes,1981-07-15,1981,7,82.50720135880351,-48.099255156041835,-0.368276243300228
01,Aguascalientes,1981-08-15,1981,8,78.48546992297301,-32.41631810549225,-0.2922975245193696
01,Aguascalientes,1981-09-15,1981,9,47.80207800495152,-38.58421523122161,-0.44664742270785357
01,Aguascalientes,1981-10-15,1981,10,30.4384001568339,-5.406418798697878,-0.15082845879079348
01,Aguascalientes,1981-11-15,1981,11,7.771479999886618,-2.754771239272986,-0.2617048725784472
01,Aguascalientes,1981-12-15,1981,12,10.715936019964056,0.7756664091974539,0.07803273347408067
02,Baja California,1981-01-15,1981,1,24.176652167697114,0.45569581785599667,0.01921068489547003
02,Baja California,1981-02-15,1981,2,20.04315567196729,-7.507793236577314,-0.2725057950453699
02,Baja California,1981-03-15,1981,3,46.499611570060914,22.553140244181314,0.9418147641572362
02,Baja California,1981-04-15,1981,4,6.5156553144861,0.2882292842007548,0.0462838551271476
02,Baja California,1981-05-15,1981,5,0.817797439414497,-0.06521486301168178,-0.0738549880137529
02,Baja California,1981-06-15,1981,6,0.15743336598011323,0.032096204511961435,0.2560789165479632
02,Baja California,1981-07-15,1981,7,3.2454599999932596,-0.5692936153761532,-0.14923470105185915
02,Baja California,1981-08-15,1981,8,7.277942062700005,-0.23042911542735123,-0.030689627611726833
