nombre_estado,cve_ent,n_month,n_day,normal_pr_mm
Aguascalientes,01,1,1,0.4671163996072977
Aguascalientes,01,1,2,0.6495477182744891
Aguascalientes,01,1,3,0.45934639760093376
Aguascalientes,01,1,4,0.4542208883427288
Aguascalientes,01,1,5,0.07178971481902946
Aguascalientes,01,1,6,0.12427414281893347
Aguascalientes,01,1,7,0.06747681317651891
Aguascalientes,01,1,8,0.17573909915324507
Aguascalientes,01,1,9,0.5118643371297281
Aguascalientes,01,1,10,1.0617401371226731
Aguascalientes,01,1,11,0.5139935844905064
Aguascalientes,01,1,12,0.8854376413497391
Aguascalientes,01,1,13,0.7781367185343739
Aguascalientes,01,1,14,0.8430076289988618
Aguascalientes,01,1,15,0.6562312138749886
Aguascalientes,01,1,16,0.641890231698087
Aguascalientes,01,1,17,0.9637263364657661
Aguascalientes,01,1,18,1.4999397512281805
Aguascalientes,01,1,19,0.5327287389328236
Aguascalientes,01,1,20,0.4730004521054964
Aguascalientes,01,1,21,0.24587816435621943
Aguascalientes,01,1,22,0.45427168512602345
Aguascalientes,01,1,23,0.33810708849874344
Aguascalientes,01,1,24,0.4323217082079751
Aguascalientes,01,1,25,0.8763060140756651
Aguascalientes,01,1,26,0.3272321065752127
Aguascalientes,01,1,27,0.45280077606658603
Aguascalientes,01,1,28,0.38864311939614965
Aguascalientes,01,1,29,0.5637714183744462
Aguascalientes,01,1,30,0.6204917622198198
Aguascalientes,01,1,31,0.3651648212060554
Aguascalientes,01,2,1,0.7274232071376044
Aguascalientes,01,2,2,0.6065163464510227
Aguascalientes,01,2,3,0.6537434883323981
Aguascalientes,01,2,4,0.49402438980851887
Aguascalientes,01,2,5,0.43839068907216705
Aguascalientes,01,2,6,0.1565974244846618
Aguascalientes,01,2,7,0.13214557987507802
Aguascalientes,01,2,8,0.08488981046908013
Aguascalientes,01,2,9,0.12818101055194556
Aguascalientes,01,2,10,0.16573529809309628
Aguascalientes,01,2,11,0.19874681593465016
Aguascalientes,01,2,12,0.38000680245305724
Aguascalientes,01,2,13,0.13632139294431223
Aguascalientes,01,2,14,0.04485311969732871
Aguascalientes,01,2,15,0.06684951778916583
Aguascalientes,01,2,16,0.058827241066253526
Aguascalientes,01,2,17,0.3145267323428619
Aguascalientes,01,2,18,0.5449604971477875
Aguascalientes,01,2,19,0.12275557478852453
Aguascalientes,01,2,20,0.11788946548004413
Aguascalientes,01,2,21,0.3169290144520551
Aguascalientes,01,2,22,0.13887246477427753
Aguascalientes,01,2,23,0.3268165545073643
Aguascalientes,01,2,24,0.2461663113203918
Aguascalientes,01,2,25,0.3663968409189072
Aguascalientes,01,2,26,0.2538567747403319
Aguascalientes,01,2,27,0.10401134321174646
Aguascalientes,01,2,28,0.1926785194198059
Aguascalientes,01,2,29,0.30044716360204454
Aguascalientes,01,3,1,0.18743305645908998
Aguascalientes,01,3,2,0.48856621792777094
Aguascalientes,01,3,3,0.06898091239622736
Aguascalientes,01,3,4,0.1575370964220233
Aguascalientes,01,3,5,0.11529187606791372
Aguascalientes,01,3,6,0.217102236155469
Aguascalientes,01,3,7,0.1628409439176403
Aguascalientes,01,3,8,0.2025548147372947
Aguascalientes,01,3,9,0.05036606121079327
Aguascalientes,01,3,10,0.09355696309809411
Aguascalientes,01,3,11,0.09524711127205293
Aguascalientes,01,3,12,0.24623722512649013
Aguascalientes,01,3,13,0.06335729130399954
Aguascalientes,01,3,14,0.03641975369635491
Aguascalientes,01,3,15,0.0667493298388557
Aguascalientes,01,3,16,0.12271872487126759
Aguascalientes,01,3,17,0.10126500434169468
Aguascalientes,01,3,18,0.01992455964423981
Aguascalientes,01,3,19,0.07521727534136331
Aguascalientes,01,3,20,0.22087267896821777
Aguascalientes,01,3,21,0.04348381711984132
Aguascalientes,01,3,22,0.193370500970681
Aguascalientes,01,3,23,0.10464424553242528
Aguascalientes,01,3,24,0.09230388230882228
Aguascalientes,01,3,25,0.2091075776414653
Aguascalientes,01,3,26,0.22133726401404213
Aguascalientes,01,3,27,0.13107961348377992
Aguascalientes,01,3,28,0.13178593373683137
Aguascalientes,01,3,29,0.1805388539950344
