nombre_estado,cve_ent,n_month,normal_pr_mm
Aguascalientes,01,01,16.89184554288081
Aguascalientes,01,02,7.584766151478229
Aguascalientes,01,03,4.4616103076267555
Aguascalientes,01,04,6.363959335725623
Aguascalientes,01,05,20.724597950476173
Aguascalientes,01,06,89.00123169946279
Aguascalientes,01,07,130.60645651484535
Aguascalientes,01,08,110.90178802846526
Aguascalientes,01,09,86.38629323617313
Aguascalientes,01,10,35.84481895553178
Aguascalientes,01,11,10.526251239159604
Aguascalientes,01,12,9.940269610766602
Baja California,02,01,23.720956349841117
Baja California,02,02,27.550948908544605
Baja California,02,03,23.9464713258796
Baja California,02,04,6.227426030285345
Baja California,02,05,0.8830123024261788
Baja California,02,06,0.1253371614681518
Baja California,02,07,3.814753615369413
Baja California,02,08,7.508371178127356
Baja California,02,09,8.426592152877568
Baja California,02,10,7.370461379861006
Baja California,02,11,12.24641378958777
Baja California,02,12,24.728331685980976
Baja California Sur,03,01,14.701485291271199
Baja California Sur,03,02,7.433819919197267
Baja California Sur,03,03,3.2079836158987476
Baja California Sur,03,04,0.44512125195585195
Baja California Sur,03,05,0.18491672864677128
Baja California Sur,03,06,0.15797110481888751
Baja California Sur,03,07,12.12188831881004
Baja California Sur,03,08,34.38076384494799
Baja California Sur,03,09,42.641123185459314
Baja California Sur,03,10,11.173059106096424
Baja California Sur,03,11,6.187270619586345
Baja California Sur,03,12,17.5916140385385
Campeche,04,01,39.92492307650316
Campeche,04,02,34.79308525090072
Campeche,04,03,27.415939718158704
Campeche,04,04,29.619294354345993
Campeche,04,05,100.26522148665174
Campeche,04,06,186.4700749604727
Campeche,04,07,162.66959984014264
Campeche,04,08,207.01356056893476
Campeche,04,09,239.12988277104893
Campeche,04,10,171.11220875064208
Campeche,04,11,79.69824544788887
Campeche,04,12,51.709867016139285
Coahuila,05,01,15.139091767765274
Coahuila,05,02,10.820350402603724
Coahuila,05,03,9.176903180159448
Coahuila,05,04,19.369899798943663
Coahuila,05,05,39.59212859281112
Coahuila,05,06,47.32565332400829
Coahuila,05,07,53.96059869660751
Coahuila,05,08,52.429860776805064
Coahuila,05,09,57.56744861161851
Coahuila,05,10,30.470631454359324
Coahuila,05,11,12.666077890049053
Coahuila,05,12,13.044542663615546
Colima,06,01,17.09155631279621
Colima,06,02,3.1939627698912196
Colima,06,03,3.496292889708306
Colima,06,04,2.739417049412563
Colima,06,05,9.643331663337301
Colima,06,06,113.49710180236929
Colima,06,07,193.47591426387768
Colima,06,08,195.90775486986064
Colima,06,09,228.90378871878298
Colima,06,10,96.70485949453425
Colima,06,11,15.194617883000344
Colima,06,12,10.946500578563112
Chiapas,07,01,46.69074847174763
Chiapas,07,02,36.87575339624342
Chiapas,07,03,34.87520526990185
Chiapas,07,04,47.14002873246278
Chiapas,07,05,162.58506526930347
Chiapas,07,06,316.1491390231524
Chiapas,07,07,270.9589714298106
Chiapas,07,08,316.7559718127379
Chiapas,07,09,383.9012844508392
Chiapas,07,10,230.16242465130236
Chiapas,07,11,93.93962775077456
Chiapas,07,12,57.81022719038194
Chihuahua,08,01,19.939330234306308
Chihuahua,08,02,13.568646606911258
Chihuahua,08,03,8.20822266583276
Chihuahua,08,04,6.2821158451235055
Chihuahua,08,05,10.470158606338446
Chihuahua,08,06,43.333802979180994
Chihuahua,08,07,110.5669341911103
Chihuahua,08,08,103.20135653522522
Chihuahua,08,09,66.41058872207485
Chihuahua,08,10,30.32500027568166
Chihuahua,08,11,12.692265712939193
Chihuahua,08,12,21.88289824497505
Ciudad de México,09,01,13.125299001684331
Ciudad de México,09,02,9.192524442283325
Ciudad de México,09,03,9.740302644165409
Ciudad de México,09,04,27.70327814214824
Ciudad de México,09,05,65.90566941239304
Ciudad de México,09,06,173.49265008935916
Ciudad de México,09,07,194.5025354375692
Ciudad de México,09,08,188.0185758885779
Ciudad de México,09,09,179.00669674462443
Ciudad de México,09,10,68.5460572426047
Ciudad de México,09,11,21.31946553445004
Ciudad de México,09,12,8.918199307042435
Durango,10,01,20.628924278571052
Durango,10,02,10.011913834685307
Durango,10,03,6.1482852506146575
Durango,10,04,5.023011153919295
Durango,10,05,13.18029821617985
Durango,10,06,77.75180485441562
Durango,10,07,152.35169264983358
Durango,10,08,139.04611960266558
Durango,10,09,111.9620732484817
Durango,10,10,39.24789804124605
Durango,10,11,13.836026755978427
Durango,10,12,20.575694710176926
Guanajuato,11,01,14.369170075980822
Guanajuato,11,02,5.481834993203313
Guanajuato,11,03,5.939800095976126
Guanajuato,11,04,11.685447825383177
Guanajuato,11,05,35.139036759873576
Guanajuato,11,06,102.81913319072504
Guanajuato,11,07,142.23107922271416
Guanajuato,11,08,116.71943473596474
Guanajuato,11,09,103.71007254799119
Guanajuato,11,10,40.648157019094896
Guanajuato,11,11,10.228659561825019
Guanajuato,11,12,7.787490782592826
Guerrero,12,01,11.675782839484873
Guerrero,12,02,2.4138719834418865
Guerrero,12,03,1.84518731107966
Guerrero,12,04,3.8254259333207035
Guerrero,12,05,42.16327160793935
Guerrero,12,06,240.12432380871502
Guerrero,12,07,255.44531250579996
Guerrero,12,08,257.8331894898291
Guerrero,12,09,273.6587374059159
Guerrero,12,10,121.18951757545256
Guerrero,12,11,16.993607031886352
Guerrero,12,12,4.209482706895779
Hidalgo,13,01,18.848878863500165
Hidalgo,13,02,16.179685408351055
Hidalgo,13,03,16.718340342642595
Hidalgo,13,04,35.81327792983137
Hidalgo,13,05,59.371503543969666
Hidalgo,13,06,118.23598240569343
Hidalgo,13,07,136.61751161378845
Hidalgo,13,08,118.18076336712424
Hidalgo,13,09,166.44813768595665
Hidalgo,13,10,86.67200040098102
Hidalgo,13,11,30.51419446901986
Hidalgo,13,12,15.978302308524777
Jalisco,14,01,16.034891243953794
Jalisco,14,02,5.530015123080818
Jalisco,14,03,4.17680106917942
Jalisco,14,04,4.3671123831451295
Jalisco,14,05,18.342091512243854
Jalisco,14,06,153.7739276560799
Jalisco,14,07,217.02757967182066
Jalisco,14,08,194.36057297772172
Jalisco,14,09,175.50539929128556
Jalisco,14,10,66.17655696800911
Jalisco,14,11,12.970133406107381
Jalisco,14,12,12.100446123695404
Estado de México,15,01,12.709711714944282
Estado de México,15,02,5.944755370093783
Estado de México,15,03,7.59908039611491
Estado de México,15,04,20.593874178243528
Estado de México,15,05,61.82333519809469
Estado de México,15,06,172.8665337819321
Estado de México,15,07,192.29517789903957
Estado de México,15,08,179.91682714714636
Estado de México,15,09,165.7504148904307
Estado de México,15,10,74.5704069727633
Estado de México,15,11,18.28161270745587
Estado de México,15,12,6.3477168347020765
Michoacán,16,01,13.89925633245244
Michoacán,16,02,3.4050055345183607
Michoacán,16,03,3.098041879196844
Michoacán,16,04,5.154932428359588
Michoacán,16,05,28.44913823603132
Michoacán,16,06,157.66146889334055
Michoacán,16,07,206.8497476169307
Michoacán,16,08,190.4785200871862
Michoacán,16,09,177.75509379980016
Michoacán,16,10,80.71675086654231
Michoacán,16,11,14.683495466196787
Michoacán,16,12,7.681143028491434
Morelos,17,01,9.0064759262809
Morelos,17,02,2.542088131425021
Morelos,17,03,4.224979522712966
Morelos,17,04,13.630010931441237
Morelos,17,05,62.36090332852056
Morelos,17,06,209.65141331197285
Morelos,17,07,197.47302760635029
Morelos,17,08,199.94584228544784
Morelos,17,09,204.65387063271035
Morelos,17,10,67.60407551758253
Morelos,17,11,12.575771163160594
Morelos,17,12,2.3799061133543193
Nayarit,18,01,19.09756849660072
Nayarit,18,02,8.95753317240226
Nayarit,18,03,3.7504984414498477
Nayarit,18,04,2.3453585549717997
Nayarit,18,05,4.721884110368848
Nayarit,18,06,131.88367687905702
Nayarit,18,07,291.8680874994359
Nayarit,18,08,291.7975399494103
Nayarit,18,09,244.72732381074465
Nayarit,18,10,73.88044785180135
Nayarit,18,11,12.23964908005381
Nayarit,18,12,18.503074891475343
Nuevo León,19,01,20.65717964406706
Nuevo León,19,02,15.906818613948996
Nuevo León,19,03,15.030433222289538
Nuevo León,19,04,33.86956225488473
Nuevo León,19,05,57.943586298872475
Nuevo León,19,06,59.51337727780953
Nuevo León,19,07,57.84977435111271
Nuevo León,19,08,62.088569284737964
Nuevo León,19,09,112.33432921747475
Nuevo León,19,10,46.61986781892596
Nuevo León,19,11,16.44965829320013
Nuevo León,19,12,15.895965679937184
Oaxaca,20,01,15.389130724367977
Oaxaca,20,02,14.556520182801147
Oaxaca,20,03,13.754917735447272
Oaxaca,20,04,26.509495182049996
Oaxaca,20,05,91.39592831314074
Oaxaca,20,06,255.6780984118464
Oaxaca,20,07,257.44916968035244
Oaxaca,20,08,261.7247343741697
Oaxaca,20,09,282.03603179047474
Oaxaca,20,10,134.9052760915844
Oaxaca,20,11,48.27763842526066
Oaxaca,20,12,24.77701703665297
Puebla,21,01,16.662411305847296
Puebla,21,02,12.799389459690733
Puebla,21,03,14.841471597729248
Puebla,21,04,34.448342389054154
Puebla,21,05,74.21584206203272
Puebla,21,06,166.85164707398806
Puebla,21,07,155.31285478157676
Puebla,21,08,157.2423810033991
Puebla,21,09,194.60761260525936
Puebla,21,10,92.91611848197992
Puebla,21,11,31.85289579015308
Puebla,21,12,16.080002322912208
Querétaro,22,01,15.527469286345852
Querétaro,22,02,8.086303161776986
Querétaro,22,03,9.198471186095198
Querétaro,22,04,22.378925517295443
Querétaro,22,05,46.342152867171315
Querétaro,22,06,100.2058732514547
Querétaro,22,07,129.6175968488951
Querétaro,22,08,103.896797807542
Querétaro,22,09,123.33320797692697
Querétaro,22,10,60.416696102086625
Querétaro,22,11,15.756914150914003
Querétaro,22,12,8.356701419588159
Quintana Roo,23,01,53.65099020437712
Quintana Roo,23,02,38.409069559831885
Quintana Roo,23,03,39.91687646909058
Quintana Roo,23,04,37.896827860627056
Quintana Roo,23,05,115.29526255281318
Quintana Roo,23,06,174.96036131985744
Quintana Roo,23,07,138.04776366233492
Quintana Roo,23,08,158.98730729884207
Quintana Roo,23,09,202.93480654071757
Quintana Roo,23,10,170.74496514960177
Quintana Roo,23,11,89.70602597711985
Quintana Roo,23,12,64.80730185040215
San Luis Potosí,24,01,17.264542994952215
San Luis Potosí,24,02,11.69745550444468
San Luis Potosí,24,03,10.230851451257593
San Luis Potosí,24,04,23.234612533057692
San Luis Potosí,24,05,49.35989620080695
San Luis Potosí,24,06,95.11963220815177
San Luis Potosí,24,07,108.65021820355673
San Luis Potosí,24,08,84.92748343087924
San Luis Potosí,24,09,115.28887131755076
San Luis Potosí,24,10,57.0476194143874
San Luis Potosí,24,11,17.31389752656235
San Luis Potosí,24,12,13.706238783911642
Sinaloa,25,01,24.909605321780163
Sinaloa,25,02,12.500872820947597
Sinaloa,25,03,5.403298040496496
Sinaloa,25,04,1.858619081792173
Sinaloa,25,05,1.7157192038778901
Sinaloa,25,06,38.62728422953397
Sinaloa,25,07,178.33147393581677
Sinaloa,25,08,187.57542410715024
Sinaloa,25,09,144.8838975878035
Sinaloa,25,10,51.93918051113838
Sinaloa,25,11,18.12923788024785
Sinaloa,25,12,27.776612963594808
Sonora,26,01,24.798107752370093
Sonora,26,02,18.735173402617217
Sonora,26,03,12.038776557492692
Sonora,26,04,3.7698449957295184
Sonora,26,05,2.0633205226705136
Sonora,26,06,12.437900329579174
Sonora,26,07,94.94751041949024
Sonora,26,08,91.24235532870291
Sonora,26,09,50.47501561038421
Sonora,26,10,20.45074970032291
Sonora,26,11,13.613206692091351
Sonora,26,12,30.920211134346264
Tabasco,27,01,118.79882216330004
Tabasco,27,02,87.89047729085229
Tabasco,27,03,51.44824857094542
Tabasco,27,04,43.66364755137824
Tabasco,27,05,112.19231734644113
Tabasco,27,06,226.39655412964953
Tabasco,27,07,178.2301190320239
Tabasco,27,08,231.61453279497158
Tabasco,27,09,328.88909491335875
Tabasco,27,10,301.4854513263178
Tabasco,27,11,170.39880958261833
Tabasco,27,12,140.37263769693624
Tamaulipas,28,01,23.17955983272758
Tamaulipas,28,02,18.281856032319226
Tamaulipas,28,03,17.478009554003087
Tamaulipas,28,04,35.501336067142034
Tamaulipas,28,05,70.30130512357992
Tamaulipas,28,06,99.59853828569065
Tamaulipas,28,07,96.18165896071675
Tamaulipas,28,08,85.62214630794047
Tamaulipas,28,09,139.9758179540897
Tamaulipas,28,10,70.13673534955639
Tamaulipas,28,11,24.956507143184524
Tamaulipas,28,12,20.88502039680168
Tlaxcala,29,01,9.575561574677929
Tlaxcala,29,02,8.496858790331238
Tlaxcala,29,03,12.3118959340402
Tlaxcala,29,04,35.43816368555844
Tlaxcala,29,05,75.8778022019688
Tlaxcala,29,06,128.15488454395208
Tlaxcala,29,07,127.32294590387902
Tlaxcala,29,08,124.81045738866607
Tlaxcala,29,09,125.80610757259016
