nombre_estado,cve_ent,n_week,normal_pr_mm
Aguascalientes,01,01,1.962879475560997
Aguascalientes,01,02,4.3983879549884355
Aguascalientes,01,03,5.292039047033842
Aguascalientes,01,04,3.2052747303788345
Aguascalientes,01,05,4.135632764411718
Aguascalientes,01,06,1.2074205894259427
Aguascalientes,01,07,1.7214711405677559
Aguascalientes,01,08,0.9636555497470572
Aguascalientes,01,09,2.1755328021016926
Aguascalientes,01,10,0.9323999116379212
Aguascalientes,01,11,0.5533636635097887
Aguascalientes,01,12,0.8154145631875142
Aguascalientes,01,13,1.1352789137169044
Aguascalientes,01,14,1.263510147198218
Aguascalientes,01,15,1.4295130231319269
Aguascalientes,01,16,1.8025407496473347
Aguascalientes,01,17,1.6833031437524006
Aguascalientes,01,18,1.3682197847128656
Aguascalientes,01,19,2.967337913444621
Aguascalientes,01,20,3.7217435611304275
Aguascalientes,01,21,7.954222242974526
Aguascalientes,01,22,7.432618701630467
Aguascalientes,01,23,13.946111369045884
Aguascalientes,01,24,26.302184848655465
Aguascalientes,01,25,24.244963151656847
Aguascalientes,01,26,27.35781967982159
Aguascalientes,01,27,33.173155875310044
Aguascalientes,01,28,30.271451057801983
Aguascalientes,01,29,25.343660487839408
Aguascalientes,01,30,24.90295056486286
Aguascalientes,01,31,27.486167863705777
Aguascalientes,01,32,26.99573207056116
Aguascalientes,01,33,24.40774465386146
Aguascalientes,01,34,26.173089718892946
Aguascalientes,01,35,24.174723360265524
Aguascalientes,01,36,27.828878467638116
Aguascalientes,01,37,20.771737874404586
Aguascalientes,01,38,19.227801202798307
Aguascalientes,01,39,10.855888574630798
Aguascalientes,01,40,10.388764330061907
Aguascalientes,01,41,14.50205241437597
Aguascalientes,01,42,5.541652691740854
Aguascalientes,01,43,5.0525461172896176
Aguascalientes,01,44,3.001029484938786
Aguascalientes,01,45,2.086362006512506
Aguascalientes,01,46,3.333585619717373
Aguascalientes,01,47,2.449185123024084
Aguascalientes,01,48,1.7850385758113363
Aguascalientes,01,49,1.8111919571832342
