nombre_estado,cve_ent,normal_pr_mm
Aguascalientes,01,533.4245757428989
Baja California,02,144.5146752780985
Baja California Sur,03,150.3359026107608
Campeche,04,1329.3113768555065
Coahuila,05,362.4483836705671
Colima,06,896.1281804227715
Chiapas,07,1998.3298696307286
Chihuahua,08,448.6736010783284
Ciudad de México,09,967.778224448071
Durango,10,613.7164159864625
Guanajuato,11,600.9743765341357
Guerrero,12,1241.5186178066483
Hidalgo,13,827.9100668896571
Jalisco,14,884.532327604283
Estado de México,15,925.4072684448612
Michoacán,16,896.0932234160935
Morelos,17,996.4381657286125
Nayarit,18,1110.0212837899637
Nuevo León,19,516.9417002569782
Oaxaca,20,1435.980423558257
Puebla,21,975.683493410079
Querétaro,22,649.1181222309797
Quintana Roo,23,1279.1775877507691
San Luis Potosí,24,609.1733525965961
Sinaloa,25,694.789468112915
Sonora,26,375.2383881544056
Tabasco,27,1989.1237554807483
Tamaulipas,28,707.0890468988212
Tlaxcala,29,742.7058006509715
Veracruz,30,1746.004518239194
Yucatán,31,1094.1093865970884
Zacatecas,32,467.98801099999366
