nombre_estado,cve_ent,nombre_municipio,cve_geo,normal_pr_mm
Aguascalientes,01,Aguascalientes,01001,533.1996520629818
Aguascalientes,01,Asientos,01002,439.313779146381
Aguascalientes,01,Calvillo,01003,629.7749608912884
Aguascalientes,01,Cosío,01004,445.2848972802228
Aguascalientes,01,Jesús María,01005,542.0654703188526
Aguascalientes,01,Pabellón de Arteaga,01006,491.82119123408415
Aguascalientes,01,Rincón de Romos,01007,460.39942428970465
Aguascalientes,01,San José de Gracia,01008,577.300686263609
Aguascalientes,01,Tepezalá,01009,437.76084743420904
Aguascalientes,01,El Llano,01010,468.2514135455273
Aguascalientes,01,San Francisco de los Romo,01011,523.8392874188326
Baja California,02,Ensenada,02001,267.261038254065
Baja California,02,Mexicali,02002,92.35652385758351
Baja California,02,Tecate,02003,272.49252999247807
Baja California,02,Tijuana,02004,255.08802501977598
Baja California,02,Playas de Rosarito,02005,202.99267822008392
Baja California,02,San Quintín,02006,109.5502770558894
Baja California,02,San Felipe,02007,110.82630260049982
Baja California Sur,03,Comondú,03001,139.3549975944879
Baja California Sur,03,Mulegé,03002,98.12592150499964
Baja California Sur,03,La Paz,03003,216.5275029009183
Baja California Sur,03,Los Cabos,03008,373.4613853482013
Baja California Sur,03,Loreto,03009,156.03736583376698
Campeche,04,Calkiní,04001,991.1256672835855
Campeche,04,Campeche,04002,1230.4612941483788
Campeche,04,Carmen,04003,1581.8587973328188
Campeche,04,Champotón,04004,1367.0162602753553
Campeche,04,Hecelchakán,04005,1123.9966040143636
Campeche,04,Hopelchén,04006,1144.1755047957802
Campeche,04,Palizada,04007,1764.9879243319226
Campeche,04,Tenabo,04008,1116.7207971400505
Campeche,04,Escárcega,04009,1430.2979694621201
Campeche,04,Calakmul,04010,1180.2975032342808
Campeche,04,Candelaria,04011,1590.490324263788
Campeche,04,Seybaplaya,04012,1219.3831623701928
Campeche,04,Dzitbalché,04013,1131.7362466070808
Coahuila,05,Abasolo,05001,316.83332943765083
Coahuila,05,Acuña,05002,395.58152557658934
Coahuila,05,Allende,05003,472.7915431643089
Coahuila,05,Arteaga,05004,487.69512343411355
Coahuila,05,Candela,05005,382.1773653021365
Coahuila,05,Castaños,05006,374.2090348586127
Coahuila,05,Cuatro Ciénegas,05007,301.1821302481462
Coahuila,05,Escobedo,05008,340.49873577455253
Coahuila,05,Francisco I. Madero,05009,254.65523141694698
Coahuila,05,Frontera,05010,335.98231387744056
Coahuila,05,General Cepeda,05011,354.752275205779
Coahuila,05,Guerrero,05012,484.46293328146504
Coahuila,05,Hidalgo,05013,465.4987796783487
Coahuila,05,Jiménez,05014,528.0604266550039
Coahuila,05,Juárez,05015,410.50582109773444
Coahuila,05,Lamadrid,05016,342.4714773091225
Coahuila,05,Matamoros,05017,241.33181086369734
Coahuila,05,Monclova,05018,385.1579112926546
Coahuila,05,Morelos,05019,478.21104420742716
Coahuila,05,Múzquiz,05020,509.29569000758323
Coahuila,05,Nadadores,05021,383.68913126463735
Coahuila,05,Nava,05022,504.0015416865565
Coahuila,05,Ocampo,05023,308.469622358902
Coahuila,05,Parras,05024,287.79023108376384
Coahuila,05,Piedras Negras,05025,540.8432934310661
Coahuila,05,Progreso,05026,380.2749643356559
Coahuila,05,Ramos Arizpe,05027,305.82332228080014
Coahuila,05,Sabinas,05028,435.14158347411546
Coahuila,05,Sacramento,05029,334.99625670065444
Coahuila,05,Saltillo,05030,404.4473609060126
Coahuila,05,San Buenaventura,05031,413.45920292591666
Coahuila,05,San Juan de Sabinas,05032,474.6015163254519
Coahuila,05,San Pedro,05033,237.0765526972442
Coahuila,05,Sierra Mojada,05034,290.18800570819826
Coahuila,05,Torreón,05035,279.6347697793592
Coahuila,05,Viesca,05036,260.83228456699516
Coahuila,05,Villa Unión,05037,489.3545768429699
Coahuila,05,Zaragoza,05038,522.3825663316126
Colima,06,Armería,06001,804.567607537333
Colima,06,Colima,06002,923.521497649189
Colima,06,Comala,06003,946.0782523976667
Colima,06,Coquimatlán,06004,868.2800997974383
Colima,06,Cuauhtémoc,06005,1082.7646962238707
Colima,06,Ixtlahuacán,06006,895.5348071328067
Colima,06,Manzanillo,06007,876.5464647828093
Colima,06,Minatitlán,06008,1003.4112869683429
Colima,06,Tecomán,06009,769.6340291770967
Colima,06,Villa de Álvarez,06010,926.4476371569633
Chiapas,07,Acacoyagua,07001,3070.099876927422
Chiapas,07,Acala,07002,1182.4298658316684
Chiapas,07,Acapetahua,07003,2417.349552441365
Chiapas,07,Altamirano,07004,1715.635876726776
Chiapas,07,Amatán,07005,3229.7921218940955
Chiapas,07,Amatenango de la Frontera,07006,1503.59147534926
Chiapas,07,Amatenango del Valle,07007,1215.2035821404504
Chiapas,07,Ángel Albino Corzo,07008,2264.3223454752265
Chiapas,07,Arriaga,07009,2014.623423093879
Chiapas,07,Bejucal de Ocampo,07010,1368.5617477926419
Chiapas,07,Bella Vista,07011,1744.2357758530159
Chiapas,07,Berriozábal,07012,1060.724562843354
Chiapas,07,Bochil,07013,1361.8662249172028
Chiapas,07,El Bosque,07014,1723.0779709196781
Chiapas,07,Cacahoatán,07015,3029.3882792618106
Chiapas,07,Catazajá,07016,2238.569759184284
Chiapas,07,Cintalapa de Figueroa,07017,1233.711359483095
Chiapas,07,Coapilla,07018,1384.6369790498668
Chiapas,07,Comitán de Domínguez,07019,1106.4901554816217
Chiapas,07,La Concordia,07020,1906.375360996069
Chiapas,07,Copainalá,07021,1606.4332053791654
Chiapas,07,Chalchihuitán,07022,1921.7757696835106
Chiapas,07,Chamula,07023,1439.731255081719
Chiapas,07,Chanal,07024,1185.9680435417044
Chiapas,07,Chapultenango,07025,3755.565767324788
Chiapas,07,Chenalhó,07026,1951.2727103643174
Chiapas,07,Chiapa de Corzo,07027,1189.7358946943336
Chiapas,07,Chiapilla,07028,1136.3298642978993
