nombre_estado,cve_ent,nombre_municipio,cve_geo,nivel_priorizacion,tipo_vul,vulnerabilidad_actual,aumento_vulnerabilidad
Ciudad de México,09,Tlalpan,09012,,Producción forrajera en estrés hídrico,,
Ciudad de México,09,Tlalpan,09012,,Producción ganadera en estrés hídrico,,
Ciudad de México,09,Tlalpan,09012,,Población expuesta al dengue,,
Ciudad de México,09,Tlalpan,09012,,Asentamientos humanos expuestos a deslaves,,
Ciudad de México,09,Tlalpan,09012,,Producción ganadera en inundaciones,,
Ciudad de México,09,Tlalpan,09012,,Asentamientos humanos expuestos a inundaciones,,
Ciudad de México,09,Xochimilco,09013,,Producción forrajera en estrés hídrico,,
Ciudad de México,09,Xochimilco,09013,,Producción ganadera en estrés hídrico,,
Ciudad de México,09,Xochimilco,09013,,Población expuesta al dengue,,
Ciudad de México,09,Xochimilco,09013,,Asentamientos humanos expuestos a deslaves,,
Ciudad de México,09,Xochimilco,09013,,Producción ganadera en inundaciones,,
Ciudad de México,09,Xochimilco,09013,,Asentamientos humanos expuestos a inundaciones,,
Ciudad de México,09,La Magdalena Contreras,09008,,Producción forrajera en estrés hídrico,,
Ciudad de México,09,La Magdalena Contreras,09008,,Producción ganadera en estrés hídrico,,
Ciudad de México,09,La Magdalena Contreras,09008,,Población expuesta al dengue,,
Ciudad de México,09,La Magdalena Contreras,09008,,Asentamientos humanos expuestos a deslaves,,
Ciudad de México,09,La Magdalena Contreras,09008,,Producción ganadera en inundaciones,,
Ciudad de México,09,La Magdalena Contreras,09008,,Asentamientos humanos expuestos a inundaciones,,
Ciudad de México,09,Azcapotzalco,09002,,Producción forrajera en estrés hídrico,,
Ciudad de México,09,Azcapotzalco,09002,,Producción ganadera en estrés hídrico,,
Ciudad de México,09,Azcapotzalco,09002,,Población expuesta al dengue,,
Ciudad de México,09,Azcapotzalco,09002,,Asentamientos humanos expuestos a deslaves,,
Ciudad de México,09,Azcapotzalco,09002,,Producción ganadera en inundaciones,,
Ciudad de México,09,Azcapotzalco,09002,,Asentamientos humanos expuestos a inundaciones,,
Ciudad de México,09,Benito Juárez,09014,Primer Nivel de Priorización,Producción forrajera en estrés hídrico,,
Ciudad de México,09,Benito Juárez,09014,Primer Nivel de Priorización,Producción ganadera en estrés hídrico,,
Ciudad de México,09,Benito Juárez,09014,Primer Nivel de Priorización,Población expuesta al dengue,,
Ciudad de México,09,Benito Juárez,09014,Primer Nivel de Priorización,Asentamientos humanos expuestos a deslaves,Bajo,Aumento
Ciudad de México,09,Benito Juárez,09014,Primer Nivel de Priorización,Producción ganadera en inundaciones,,
Ciudad de México,09,Benito Juárez,09014,Primer Nivel de Priorización,Asentamientos humanos expuestos a inundaciones,Muy Alto,Aumento
Ciudad de México,09,Cuauhtémoc,09015,Primer Nivel de Priorización,Producción forrajera en estrés hídrico,,
Ciudad de México,09,Cuauhtémoc,09015,Primer Nivel de Priorización,Producción ganadera en estrés hídrico,,
Ciudad de México,09,Cuauhtémoc,09015,Primer Nivel de Priorización,Población expuesta al dengue,,
Ciudad de México,09,Cuauhtémoc,09015,Primer Nivel de Priorización,Asentamientos humanos expuestos a deslaves,Medio,Aumento
Ciudad de México,09,Cuauhtémoc,09015,Primer Nivel de Priorización,Producción ganadera en inundaciones,,
Ciudad de México,09,Cuauhtémoc,09015,Primer Nivel de Priorización,Asentamientos humanos expuestos a inundaciones,Muy Alto,Aumento
Ciudad de México,09,Álvaro Obregón,09010,Primer Nivel de Priorización,Producción forrajera en estrés hídrico,Alto,Aumento
Ciudad de México,09,Álvaro Obregón,09010,Primer Nivel de Priorización,Producción ganadera en estrés hídrico,,
Ciudad de México,09,Álvaro Obregón,09010,Primer Nivel de Priorización,Población expuesta al dengue,,
Ciudad de México,09,Álvaro Obregón,09010,Primer Nivel de Priorización,Asentamientos humanos expuestos a deslaves,Medio,Aumento
