n_year,nombre_estado,cve_ent,genero,pob_start_year,pob_mid_year
1950,Nacional,00,Hombres,14037453,14211712
1950,Nacional,00,Mujeres,14076674,14251729
1950,Nacional,00,Total,28114127,28463441
1951,Nacional,00,Hombres,14385910,14560114
1951,Nacional,00,Mujeres,14426734,14600910
1951,Nacional,00,Total,28812644,29161024
1952,Nacional,00,Hombres,14734265,14926461
1952,Nacional,00,Mujeres,14775034,14967008
1952,Nacional,00,Total,29509299,29893469
1953,Nacional,00,Hombres,15118603,15314812
1953,Nacional,00,Mujeres,15158918,15354590
1953,Nacional,00,Total,30277521,30669402
1954,Nacional,00,Hombres,15510972,15734525
1954,Nacional,00,Mujeres,15550212,15772650
1954,Nacional,00,Total,31061184,31507175
1955,Nacional,00,Hombres,15958026,16193661
1955,Nacional,00,Mujeres,15995035,16227894
1955,Nacional,00,Total,31953061,32421555
1956,Nacional,00,Hombres,16429252,16675925
1956,Nacional,00,Mujeres,16460695,16705485
1956,Nacional,00,Total,32889947,33381410
1957,Nacional,00,Hombres,16922540,17178776
1957,Nacional,00,Mujeres,16950223,17203469
1957,Nacional,00,Total,33872763,34382245
1958,Nacional,00,Hombres,17434957,17704701
1958,Nacional,00,Mujeres,17456660,17723361
1958,Nacional,00,Total,34891617,35428062
1959,Nacional,00,Hombres,17974397,18257766
1959,Nacional,00,Mujeres,17990007,18270107
1959,Nacional,00,Total,35964404,36527873
1960,Nacional,00,Hombres,18541078,18836697
1960,Nacional,00,Mujeres,18550152,18841730
1960,Nacional,00,Total,37091230,37678427
1961,Nacional,00,Hombres,19132260,19442296
1961,Nacional,00,Mujeres,19133249,19438832
1961,Nacional,00,Total,38265509,38881128
1962,Nacional,00,Hombres,19752280,20073383
1962,Nacional,00,Mujeres,19744361,20060403
1962,Nacional,00,Total,39496641,40133786
1963,Nacional,00,Hombres,20394437,20726768
1963,Nacional,00,Mujeres,20376391,20702568
1963,Nacional,00,Total,40770828,41429336
1964,Nacional,00,Hombres,21059039,21403485
1964,Nacional,00,Mujeres,21028696,21368724
1964,Nacional,00,Total,42087735,42772209
1965,Nacional,00,Hombres,21747891,22099952
1965,Nacional,00,Mujeres,21708702,22057142
1965,Nacional,00,Total,43456593,44157094
1966,Nacional,00,Hombres,22451960,22810764
1966,Nacional,00,Mujeres,22405530,22762350
1966,Nacional,00,Total,44857490,45573114
1967,Nacional,00,Hombres,23169510,23537327
1967,Nacional,00,Mujeres,23119115,23486842
