date_year,nombre_estado,cve_ent,nombre_municipio,cve_mun,hombres,mujeres,total
2015,Aguascalientes,01,Aguascalientes,01001,438715,456097,894812
2015,Aguascalientes,01,Asientos,01002,23991,24268,48259
2015,Aguascalientes,01,Calvillo,01003,28444,29804,58248
2015,Aguascalientes,01,Cosío,01004,7910,8230,16140
2015,Aguascalientes,01,El Llano,01010,10486,10210,20696
2015,Aguascalientes,01,Jesús María,01005,58317,58233,116550
2015,Aguascalientes,01,Pabellón de Arteaga,01006,23000,24056,47056
2015,Aguascalientes,01,Rincón de Romos,01007,27084,27617,54701
2015,Aguascalientes,01,San Francisco de los Romo,01011,22234,22669,44903
2015,Aguascalientes,01,San José de Gracia,01008,4408,4713,9121
2015,Aguascalientes,01,Tepezalá,01009,10480,10859,21339
2015,Baja California,02,Ensenada,02001,247267,247015,494282
2015,Baja California,02,Mexicali,02002,501733,501075,1002808
2015,Baja California,02,Playas de Rosarito,02005,49174,48797,97971
2015,Baja California,02,Tecate,02003,54517,50911,105428
2015,Baja California,02,Tijuana,02004,828653,828652,1657305
2015,Baja California Sur,03,Comondú,03001,39021,37961,76982
2015,Baja California Sur,03,La Paz,03003,138867,138406,277273
2015,Baja California Sur,03,Loreto,03009,9918,9096,19014
2015,Baja California Sur,03,Los Cabos,03008,145745,137039,282784
2015,Baja California Sur,03,Mulegé,03002,33120,30673,63793
2015,Campeche,04,Calakmul,04010,14845,14438,29283
2015,Campeche,04,Calkiní,04001,28831,29728,58559
2015,Campeche,04,Campeche,04002,140113,150155,290268
2015,Campeche,04,Candelaria,04011,22661,22256,44917
2015,Campeche,04,Carmen,04003,124472,125681,250153
2015,Campeche,04,Champotón,04004,45875,45594,91469
2015,Campeche,04,Escárcega,04009,29282,30076,59358
2015,Campeche,04,Hecelchakán,04005,15915,16029,31944
2015,Campeche,04,Hopelchén,04006,20730,19899,40629
2015,Campeche,04,Palizada,04007,4717,4593,9310
2015,Campeche,04,Tenabo,04008,5605,5337,10942
2015,Chiapas,07,Acacoyagua,07001,9238,9153,18391
2015,Chiapas,07,Acala,07002,15966,16124,32090
2015,Chiapas,07,Acapetahua,07003,14681,14647,29328
2015,Chiapas,07,Aldama,07113,3122,3375,6497
2015,Chiapas,07,Altamirano,07004,16479,16287,32766
2015,Chiapas,07,Amatenango de la Frontera,07006,15383,16207,31590
2015,Chiapas,07,Amatenango del Valle,07007,4809,5167,9976
2015,Chiapas,07,Amatán,07005,10781,10468,21249
2015,Chiapas,07,Angel Albino Corzo,07008,14796,14748,29544
2015,Chiapas,07,Arriaga,07009,20760,21940,42700
2015,Chiapas,07,Bejucal de Ocampo,07010,3954,3911,7865
2015,Chiapas,07,Bella Vista,07011,10297,10475,20772
2015,Chiapas,07,Benemérito de las Américas,07114,10001,9832,19833
2015,Chiapas,07,Berriozábal,07012,25142,25097,50239
2015,Chiapas,07,Bochil,07013,17210,17485,34695
2015,Chiapas,07,Cacahoatán,07015,23227,24302,47529
2015,Chiapas,07,Catazajá,07016,9214,8942,18156
2015,Chiapas,07,Chalchihuitán,07022,8255,8369,16624
2015,Chiapas,07,Chamula,07023,40343,46249,86592
2015,Chiapas,07,Chanal,07024,5964,6037,12001
2015,Chiapas,07,Chapultenango,07025,3972,3984,7956
2015,Chiapas,07,Chenalhó,07026,19554,19961,39515
2015,Chiapas,07,Chiapa de Corzo,07027,49327,50761,100088
2015,Chiapas,07,Chiapilla,07028,3084,2946,6030
2015,Chiapas,07,Chicoasén,07029,2713,2683,5396
2015,Chiapas,07,Chicomuselo,07030,17390,17575,34965
2015,Chiapas,07,Chilón,07031,62349,63494,125843
2015,Chiapas,07,Cintalapa,07017,43491,43411,86902
2015,Chiapas,07,Coapilla,07018,4649,4718,9367
2015,Chiapas,07,Comitán de Domínguez,07019,74706,81478,156184
2015,Chiapas,07,Copainalá,07021,11241,11637,22878
2015,Chiapas,07,El Bosque,07014,10532,11269,21801
2015,Chiapas,07,El Porvenir,07070,7274,7276,14550
2015,Chiapas,07,Escuintla,07032,16076,16625,32701
2015,Chiapas,07,Francisco León,07033,3870,3774,7644
2015,Chiapas,07,Frontera Comalapa,07034,35843,38163,74006
2015,Chiapas,07,Frontera Hidalgo,07035,7043,7334,14377
2015,Chiapas,07,Huehuetán,07037,17639,18552,36191
2015,Chiapas,07,Huitiupán,07039,12032,11884,23916
2015,Chiapas,07,Huixtla,07040,27173,28994,56167
2015,Chiapas,07,Huixtán,07038,11666,12042,23708
2015,Chiapas,07,Ixhuatán,07042,5607,5747,11354
2015,Chiapas,07,Ixtacomitán,07043,5543,5629,11172
2015,Chiapas,07,Ixtapa,07044,13615,13781,27396
2015,Chiapas,07,Ixtapangajoya,07045,2871,2811,5682
2015,Chiapas,07,Jiquipilas,07046,20276,20703,40979
2015,Chiapas,07,Jitotol,07047,10384,10087,20471
2015,Chiapas,07,Juárez,07048,11138,11310,22448
2015,Chiapas,07,La Concordia,07020,24107,23718,47825
2015,Chiapas,07,La Grandeza,07036,3726,3778,7504
2015,Chiapas,07,La Independencia,07041,22334,23346,45680
2015,Chiapas,07,La Libertad,07050,2648,2717,5365
2015,Chiapas,07,La Trinitaria,07099,38137,40137,78274
2015,Chiapas,07,Larráinzar,07049,11445,11808,23253
2015,Chiapas,07,Las Margaritas,07052,60933,62154,123087
2015,Chiapas,07,Las Rosas,07075,14315,14593,28908
2015,Chiapas,07,Mapastepec,07051,23803,24478,48281
2015,Chiapas,07,Maravilla Tenejapa,07115,6572,6325,12897
2015,Chiapas,07,Marqués de Comillas,07116,5695,5531,11226
2015,Chiapas,07,Mazapa de Madero,07053,3996,4104,8100
2015,Chiapas,07,Mazatán,07054,14711,14986,29697
2015,Chiapas,07,Metapa,07055,2812,2991,5803
2015,Chiapas,07,Mitontic,07056,5991,6114,12105
2015,Chiapas,07,Montecristo de Guerrero,07117,3966,3833,7799
2015,Chiapas,07,Motozintla,07057,36606,37685,74291
2015,Chiapas,07,Nicolás Ruíz,07058,2310,2193,4503
2015,Chiapas,07,Ocosingo,07059,108999,109625,218624
2015,Chiapas,07,Ocotepec,07060,6325,6516,12841
2015,Chiapas,07,Ocozocoautla de Espinosa,07061,45784,46680,92464
2015,Chiapas,07,Ostuacán,07062,9470,9328,18798
2015,Chiapas,07,Osumacinta,07063,1974,1956,3930
2015,Chiapas,07,Oxchuc,07064,24331,24126,48457
2015,Chiapas,07,Palenque,07065,60093,61723,121816
