cve_geo,nombre_estado,cve_ent,nombre_municipio,cve_mun
01008,Aguascalientes,01,San José de Gracia,008
01009,Aguascalientes,01,Tepezalá,009
01007,Aguascalientes,01,Rincón de Romos,007
01006,Aguascalientes,01,Pabellón de Arteaga,006
01005,Aguascalientes,01,Jesús María,005
01004,Aguascalientes,01,Cosío,004
01003,Aguascalientes,01,Calvillo,003
01002,Aguascalientes,01,Asientos,002
01001,Aguascalientes,01,Aguascalientes,001
01010,Aguascalientes,01,El Llano,010
01011,Aguascalientes,01,San Francisco de los Romo,011
02007,Baja California,02,San Felipe,007
02004,Baja California,02,Tijuana,004
02003,Baja California,02,Tecate,003
02002,Baja California,02,Mexicali,002
02006,Baja California,02,San Quintín,006
02001,Baja California,02,Ensenada,001
02005,Baja California,02,Playas de Rosarito,005
03008,Baja California Sur,03,Los Cabos,008
03001,Baja California Sur,03,Comondú,001
03003,Baja California Sur,03,La Paz,003
03009,Baja California Sur,03,Loreto,009
03002,Baja California Sur,03,Mulegé,002
04011,Campeche,04,Candelaria,011
04003,Campeche,04,Carmen,003
04004,Campeche,04,Champotón,004
04002,Campeche,04,Campeche,002
04012,Campeche,04,Seybaplaya,012
04006,Campeche,04,Hopelchén,006
04007,Campeche,04,Palizada,007
04008,Campeche,04,Tenabo,008
04009,Campeche,04,Escárcega,009
04013,Campeche,04,Dzitbalché,013
04005,Campeche,04,Hecelchakán,005
04010,Campeche,04,Calakmul,010
04001,Campeche,04,Calkiní,001
05010,Coahuila,05,Frontera,010
05008,Coahuila,05,Escobedo,008
05037,Coahuila,05,Villa Unión,037
05031,Coahuila,05,San Buenaventura,031
05038,Coahuila,05,Zaragoza,038
05013,Coahuila,05,Hidalgo,013
05018,Coahuila,05,Monclova,018
05030,Coahuila,05,Saltillo,030
05028,Coahuila,05,Sabinas,028
05001,Coahuila,05,Abasolo,001
05023,Coahuila,05,Ocampo,023
05022,Coahuila,05,Nava,022
05012,Coahuila,05,Guerrero,012
05009,Coahuila,05,Francisco I. Madero,009
05005,Coahuila,05,Candela,005
05004,Coahuila,05,Arteaga,004
05002,Coahuila,05,Acuña,002
05034,Coahuila,05,Sierra Mojada,034
05003,Coahuila,05,Allende,003
05035,Coahuila,05,Torreón,035
05014,Coahuila,05,Jiménez,014
05027,Coahuila,05,Ramos Arizpe,027
05026,Coahuila,05,Progreso,026
05007,Coahuila,05,Cuatro Ciénegas,007
05024,Coahuila,05,Parras,024
05032,Coahuila,05,San Juan de Sabinas,032
05029,Coahuila,05,Sacramento,029
05033,Coahuila,05,San Pedro,033
05025,Coahuila,05,Piedras Negras,025
05006,Coahuila,05,Castaños,006
05021,Coahuila,05,Nadadores,021
05011,Coahuila,05,General Cepeda,011
05036,Coahuila,05,Viesca,036
05016,Coahuila,05,Lamadrid,016
05019,Coahuila,05,Morelos,019
05020,Coahuila,05,Múzquiz,020
05015,Coahuila,05,Juárez,015
05017,Coahuila,05,Matamoros,017
06007,Colima,06,Manzanillo,007
06004,Colima,06,Coquimatlán,004
06009,Colima,06,Tecomán,009
06005,Colima,06,Cuauhtémoc,005
06008,Colima,06,Minatitlán,008
06002,Colima,06,Colima,002
06010,Colima,06,Villa de Álvarez,010
06001,Colima,06,Armería,001
06003,Colima,06,Comala,003
06006,Colima,06,Ixtlahuacán,006
07078,Chiapas,07,San Cristóbal de las Casas,078
07085,Chiapas,07,Soyaló,085
07017,Chiapas,07,Cintalapa de Figueroa,017
07088,Chiapas,07,Sunuapa,088
07067,Chiapas,07,Pantepec,067
07086,Chiapas,07,Suchiapa,086
07018,Chiapas,07,Coapilla,018
07080,Chiapas,07,Siltepec,080
07091,Chiapas,07,Tapilula,091
07093,Chiapas,07,Tenejapa,093
07098,Chiapas,07,Totolapa,098
07100,Chiapas,07,Tumbalá,100
07105,Chiapas,07,Unión Juárez,105
07112,Chiapas,07,San Juan Cancuc,112
07049,Chiapas,07,Larráinzar,049
07050,Chiapas,07,La Libertad,050
07051,Chiapas,07,Mapastepec,051
07072,Chiapas,07,Pueblo Nuevo Solistahuacán,072
07110,Chiapas,07,San Lucas,110
07111,Chiapas,07,Zinacantán,111
07124,Chiapas,07,Mezcalapa,124
07123,Chiapas,07,Emiliano Zapata,123
07023,Chiapas,07,Chamula,023
07113,Chiapas,07,Aldama,113
07115,Chiapas,07,Maravilla Tenejapa,115
07077,Chiapas,07,Salto de Agua,077
07117,Chiapas,07,Montecristo de Guerrero,117
07118,Chiapas,07,San Andrés Duraznal,118
07121,Chiapas,07,Rincón Chamula San Pedro,121
07070,Chiapas,07,El Porvenir,070
07063,Chiapas,07,Osumacinta,063
07081,Chiapas,07,Simojovel,081
07069,Chiapas,07,Pijijiapan,069
07116,Chiapas,07,Marqués de Comillas,116
07090,Chiapas,07,Tapalapa,090
07022,Chiapas,07,Chalchihuitán,022
07062,Chiapas,07,Ostuacán,062
