cve_concatenada,sequia,racha,full_date_start_racha,full_date_end_racha,racha_dias
1001,D0,6,2017-02-28,2017-05-15,76 days
1001,D1,10,2020-11-30,2021-04-15,136 days
1001,D2,5,2023-03-31,2023-06-15,76 days
1001,D3,11,2023-06-30,2023-11-30,153 days
1001,D4,1,2011-11-30,2011-11-30,0 days
1001,Sin sequia,27,2003-01-31,2005-05-31,851 days
1002,D0,5,2009-07-31,2009-11-30,122 days
1002,D1,8,2020-11-30,2021-03-15,105 days
1002,D2,6,2023-03-31,2023-06-30,91 days
1002,D3,9,2023-07-15,2023-11-15,123 days
1002,Sin sequia,27,2003-01-31,2005-05-31,851 days
1003,D0,7,2017-02-15,2017-05-15,89 days
1003,D1,9,2020-12-31,2021-04-30,120 days
1003,D2,3,2011-04-30,2011-06-30,61 days
1003,D3,21,2023-06-30,2024-04-30,305 days
1003,D4,2,2011-11-30,2011-12-31,31 days
1003,Sin sequia,27,2003-01-31,2005-05-31,851 days
1004,D0,3,2012-05-31,2012-07-31,61 days
1004,D1,11,2019-05-31,2019-10-31,153 days
1004,D2,6,2021-03-31,2021-06-15,76 days
1004,D3,6,2023-09-15,2023-11-30,76 days
1004,Sin sequia,32,2008-07-31,2011-02-28,942 days
1005,D0,7,2022-11-30,2023-02-28,90 days
1005,D1,10,2020-11-30,2021-04-15,136 days
1005,D2,3,2011-04-30,2011-06-30,61 days
1005,D3,11,2023-06-30,2023-11-30,153 days
1005,D4,2,2011-11-30,2011-12-31,31 days
1005,Sin sequia,27,2003-01-31,2005-05-31,851 days
1006,D0,5,2009-07-31,2009-11-30,122 days
1006,D1,8,2020-11-30,2021-03-15,105 days
1006,D2,3,2011-04-30,2011-06-30,61 days
1006,D3,11,2023-06-30,2023-11-30,153 days
1006,Sin sequia,27,2003-01-31,2005-05-31,851 days
1007,D0,7,2017-02-15,2017-05-15,89 days
1007,D1,11,2019-05-31,2019-10-31,153 days
1007,D2,6,2021-03-31,2021-06-15,76 days
1007,D3,11,2023-06-30,2023-11-30,153 days
1007,Sin sequia,27,2003-01-31,2005-05-31,851 days
1008,D0,7,2017-02-15,2017-05-15,89 days
1008,D1,8,2022-03-15,2022-06-30,107 days
1008,D2,3,2011-04-30,2011-06-30,61 days
1008,D3,21,2023-06-30,2024-04-30,305 days
1008,Sin sequia,27,2003-01-31,2005-05-31,851 days
1009,D0,6,2017-02-28,2017-05-15,76 days
1009,D1,11,2022-03-31,2022-08-31,153 days
1009,D2,3,2011-04-30,2011-06-30,61 days
1009,D3,10,2023-06-30,2023-11-15,138 days
1009,Sin sequia,27,2003-01-31,2005-05-31,851 days
1010,D0,10,2019-04-30,2019-09-15,138 days
1010,D1,6,2022-03-15,2022-05-31,77 days
1010,D2,7,2023-03-15,2023-06-30,107 days
1010,D3,5,2011-09-30,2012-01-31,123 days
1010,Sin sequia,27,2003-01-31,2005-05-31,851 days
1011,D0,5,2009-07-31,2009-11-30,122 days
1011,D1,10,2020-11-30,2021-04-15,136 days
1011,D2,3,2011-04-30,2011-06-30,61 days
1011,D3,10,2023-06-30,2023-11-15,138 days
1011,Sin sequia,27,2003-01-31,2005-05-31,851 days
2001,D0,11,2011-02-28,2011-12-31,306 days
2001,D1,10,2008-01-31,2008-10-31,274 days
2001,D2,26,2021-04-15,2022-04-30,380 days
2001,D3,23,2016-01-15,2016-12-15,335 days
2001,Sin sequia,15,2004-10-31,2005-12-31,426 days
2002,D0,9,2012-10-31,2013-06-30,242 days
2002,D1,15,2021-01-31,2021-08-31,212 days
2002,D2,30,2016-01-15,2017-03-31,441 days
2002,D3,17,2018-03-31,2018-11-30,244 days
2002,Sin sequia,12,2005-01-31,2005-12-31,334 days
2003,D0,18,2020-08-15,2021-04-30,258 days
2003,D1,22,2021-05-15,2022-03-31,320 days
2003,D2,26,2014-12-15,2015-12-31,381 days
2003,D3,23,2016-01-15,2016-12-15,335 days
2003,D4,1,2007-07-31,2007-07-31,0 days
2003,Sin sequia,20,2010-02-28,2011-09-30,579 days
2004,D0,22,2017-02-28,2018-01-15,321 days
2004,D1,33,2021-10-15,2023-02-15,488 days
2004,D2,15,2018-05-15,2018-12-15,214 days
2004,D3,70,2014-02-28,2017-01-15,1052 days
2004,D4,1,2007-07-31,2007-07-31,0 days
2004,Sin sequia,20,2010-02-28,2011-09-30,579 days
2005,D0,14,2017-06-30,2018-01-15,199 days
2005,D1,33,2021-10-15,2023-02-15,488 days
2005,D2,15,2018-05-15,2018-12-15,214 days
2005,D3,62,2014-06-30,2017-01-15,930 days
2005,D4,1,2007-07-31,2007-07-31,0 days
2005,Sin sequia,20,2010-02-28,2011-09-30,579 days
2006,D0,11,2011-02-28,2011-12-31,306 days
2006,D1,10,2008-01-31,2008-10-31,274 days
2006,D2,26,2021-04-15,2022-04-30,380 days
2006,D3,23,2016-01-15,2016-12-15,335 days
2006,Sin sequia,15,2004-10-31,2005-12-31,426 days
2007,D0,11,2011-02-28,2011-12-31,306 days
2007,D1,10,2008-01-31,2008-10-31,274 days
2007,D2,26,2021-04-15,2022-04-30,380 days
2007,D3,23,2016-01-15,2016-12-15,335 days
2007,Sin sequia,15,2004-10-31,2005-12-31,426 days
3001,D0,15,2022-12-31,2023-08-15,227 days
3001,D1,21,2021-09-30,2022-07-31,304 days
3001,D2,16,2021-01-15,2021-08-31,228 days
3001,Sin sequia,30,2003-01-31,2005-08-31,943 days
3002,D0,14,2023-01-15,2023-08-15,212 days
3002,D1,17,2021-07-31,2022-03-31,243 days
3002,D2,7,2008-12-31,2009-06-30,181 days
3002,D3,6,2022-05-15,2022-07-31,77 days
3002,Sin sequia,30,2012-05-31,2014-06-15,745 days
3003,D0,18,2018-12-31,2019-09-15,258 days
3003,D1,9,2010-11-30,2011-07-31,243 days
3003,D2,8,2011-11-30,2012-06-30,213 days
3003,D3,1,2011-10-31,2011-10-31,0 days
3003,Sin sequia,77,2014-05-15,2017-07-15,1157 days
3008,D0,16,2018-12-31,2019-08-15,227 days
3008,D1,12,2023-01-15,2023-07-15,181 days
3008,D2,5,2003-01-31,2003-05-31,120 days
3008,D3,8,2011-10-31,2012-05-31,213 days
3008,Sin sequia,81,2014-03-15,2017-07-15,1218 days
3009,D0,13,2022-12-31,2023-07-15,196 days
3009,D1,19,2021-09-15,2022-06-15,273 days
3009,D2,16,2021-01-15,2021-08-31,228 days
3009,Sin sequia,30,2003-01-31,2005-08-31,943 days
4001,D0,7,2012-11-30,2013-05-31,182 days
4001,D1,12,2023-11-15,2024-04-30,167 days
4001,D2,4,2009-05-31,2009-08-31,92 days
4001,D3,6,2009-09-30,2010-02-28,151 days
4001,Sin sequia,40,2013-06-30,2015-05-31,700 days
4002,D0,12,2022-08-31,2023-02-15,168 days
4002,D1,15,2016-10-31,2017-05-31,212 days
4002,D2,10,2009-09-30,2010-06-30,273 days
4002,D3,1,2011-05-31,2011-05-31,0 days
4002,Sin sequia,19,2013-05-31,2014-06-30,395 days
4003,D0,10,2015-07-31,2015-12-15,137 days
4003,D1,5,2011-04-30,2011-08-31,123 days
4003,D2,5,2009-04-30,2009-08-31,123 days
4003,D3,6,2009-09-30,2010-02-28,151 days
4003,Sin sequia,19,2011-09-30,2013-03-31,548 days
4004,D0,6,2003-03-31,2003-09-30,183 days
4004,D1,8,2004-10-31,2005-05-31,212 days
4004,D2,7,2009-11-30,2010-05-31,182 days
4004,D3,2,2009-09-30,2009-10-31,31 days
4004,Sin sequia,23,2013-05-31,2014-08-31,457 days
4005,D0,20,2018-07-31,2019-05-15,288 days
4005,D1,12,2023-11-15,2024-04-30,167 days
4005,D2,3,2009-06-30,2009-08-31,62 days
4005,D3,3,2009-12-31,2010-02-28,59 days
4005,Sin sequia,40,2013-06-30,2015-05-31,700 days
4006,D0,19,2019-06-15,2020-03-15,274 days
4006,D1,15,2018-10-31,2019-05-31,212 days
4006,D2,10,2009-09-30,2010-06-30,273 days
4006,D3,1,2011-05-31,2011-05-31,0 days
4006,Sin sequia,18,2013-06-30,2014-06-30,365 days
4007,D0,7,2004-06-30,2004-12-31,184 days
4007,D1,5,2011-04-30,2011-08-31,123 days
4007,D2,5,2009-04-30,2009-08-31,123 days
4007,D3,4,2009-11-30,2010-02-28,90 days
4007,D4,1,2009-10-31,2009-10-31,0 days
4007,Sin sequia,19,2011-09-30,2013-03-31,548 days
4008,D0,11,2018-12-15,2019-05-15,151 days
4008,D1,21,2023-06-30,2024-04-30,305 days
4008,D2,5,2009-07-31,2009-11-30,122 days
4008,D3,3,2009-12-31,2010-02-28,59 days
4008,Sin sequia,41,2013-06-30,2015-06-15,715 days
4009,D0,9,2003-01-31,2003-10-31,273 days
4009,D1,6,2009-01-31,2009-06-30,150 days
4009,D2,7,2009-11-30,2010-05-31,182 days
4009,D3,2,2009-09-30,2009-10-31,31 days
4009,Sin sequia,38,2012-05-31,2014-10-15,867 days
4010,D0,8,2008-02-29,2008-09-30,214 days
4010,D1,8,2009-01-31,2009-08-31,212 days
4010,D2,9,2009-09-30,2010-05-31,243 days
4010,D3,1,2008-01-31,2008-01-31,0 days
4010,Sin sequia,64,2011-08-31,2015-06-30,1399 days
4011,D0,7,2008-02-29,2008-08-31,184 days
4011,D1,13,2019-10-15,2020-04-15,183 days
4011,D2,6,2009-11-30,2010-04-30,151 days
4011,D3,1,2009-10-31,2009-10-31,0 days
4011,Sin sequia,44,2011-08-31,2014-08-31,1096 days
4012,D0,6,2003-03-31,2003-09-30,183 days
4012,D1,8,2004-10-31,2005-05-31,212 days
4012,D2,7,2009-11-30,2010-05-31,182 days
4012,D3,2,2009-09-30,2009-10-31,31 days
4012,Sin sequia,23,2013-05-31,2014-08-31,457 days
4013,D0,7,2012-11-30,2013-05-31,182 days
4013,D1,12,2023-11-15,2024-04-30,167 days
4013,D2,4,2009-05-31,2009-08-31,92 days
4013,D3,6,2009-09-30,2010-02-28,151 days
4013,Sin sequia,40,2013-06-30,2015-05-31,700 days
5001,D0,7,2008-12-31,2009-06-30,181 days
5001,D1,8,2012-06-30,2013-01-31,215 days
5001,D2,8,2022-04-30,2022-08-15,107 days
5001,D3,5,2011-12-31,2012-04-30,121 days
5001,D4,2,2011-10-31,2011-11-30,30 days
5001,Sin sequia,67,2014-07-31,2017-04-30,1004 days
5002,D0,8,2009-01-31,2009-08-31,212 days
5002,D1,7,2013-02-28,2013-08-31,184 days
5002,D2,4,2008-04-30,2008-07-31,92 days
5002,D3,8,2021-12-31,2022-04-15,105 days
5002,D4,7,2011-08-31,2012-02-29,182 days
