nombre_estado,cve_ent,nombre_municipio,cve_geo,org_cuenca,clv_oc,con_cuenca,cve_conc,sequia,full_date_start_racha,full_date_end_racha,racha_dias
Aguascalientes,01,Aguascalientes,01001,Lerma-Santiago-Pacífico,VIII,Rio Santiago,16,D0,2025-01-16,2025-04-15,89
Aguascalientes,01,Aguascalientes,01001,Lerma-Santiago-Pacífico,VIII,Rio Santiago,16,D1,2020-11-16,2021-04-15,150
Aguascalientes,01,Aguascalientes,01001,Lerma-Santiago-Pacífico,VIII,Rio Santiago,16,D2,2024-02-16,2024-05-31,105
Aguascalientes,01,Aguascalientes,01001,Lerma-Santiago-Pacífico,VIII,Rio Santiago,16,D3,2023-06-16,2023-11-30,167
Aguascalientes,01,Aguascalientes,01001,Lerma-Santiago-Pacífico,VIII,Rio Santiago,16,D4,2011-11-01,2011-11-30,29
Aguascalientes,01,Aguascalientes,01001,Lerma-Santiago-Pacífico,VIII,Rio Santiago,16,Sin sequia,2003-01-01,2005-05-31,881
Aguascalientes,01,Asientos,01002,Lerma-Santiago-Pacífico,VIII,Rio Santiago,16,D0,2009-07-01,2009-11-30,152
Aguascalientes,01,Asientos,01002,Lerma-Santiago-Pacífico,VIII,Rio Santiago,16,D1,2020-11-16,2021-03-15,119
Aguascalientes,01,Asientos,01002,Lerma-Santiago-Pacífico,VIII,Rio Santiago,16,D2,2023-03-16,2023-06-30,106
Aguascalientes,01,Asientos,01002,Lerma-Santiago-Pacífico,VIII,Rio Santiago,16,D3,2023-07-01,2023-11-15,137
Aguascalientes,01,Asientos,01002,Lerma-Santiago-Pacífico,VIII,Rio Santiago,16,Sin sequia,2003-01-01,2005-05-31,881
Aguascalientes,01,Calvillo,01003,Lerma-Santiago-Pacífico,VIII,Rio Santiago,16,D0,2017-02-01,2017-05-15,103
Aguascalientes,01,Calvillo,01003,Lerma-Santiago-Pacífico,VIII,Rio Santiago,16,D1,2020-12-16,2021-04-30,135
Aguascalientes,01,Calvillo,01003,Lerma-Santiago-Pacífico,VIII,Rio Santiago,16,D2,2011-04-01,2011-06-30,90
Aguascalientes,01,Calvillo,01003,Lerma-Santiago-Pacífico,VIII,Rio Santiago,16,D3,2023-06-16,2024-07-15,395
Aguascalientes,01,Calvillo,01003,Lerma-Santiago-Pacífico,VIII,Rio Santiago,16,D4,2011-11-01,2011-12-31,60
Aguascalientes,01,Calvillo,01003,Lerma-Santiago-Pacífico,VIII,Rio Santiago,16,Sin sequia,2003-01-01,2005-05-31,881
Aguascalientes,01,Cosío,01004,Lerma-Santiago-Pacífico,VIII,Rio Santiago,16,D0,2012-05-01,2012-07-31,91
Aguascalientes,01,Cosío,01004,Lerma-Santiago-Pacífico,VIII,Rio Santiago,16,D1,2019-05-16,2019-10-31,168
Aguascalientes,01,Cosío,01004,Lerma-Santiago-Pacífico,VIII,Rio Santiago,16,D2,2011-08-01,2011-10-31,91
Aguascalientes,01,Cosío,01004,Lerma-Santiago-Pacífico,VIII,Rio Santiago,16,D3,2023-09-01,2023-11-30,90
Aguascalientes,01,Cosío,01004,Lerma-Santiago-Pacífico,VIII,Rio Santiago,16,Sin sequia,2008-07-01,2011-02-28,972
Aguascalientes,01,Jesús María,01005,Lerma-Santiago-Pacífico,VIII,Rio Santiago,16,D0,2022-11-16,2023-02-28,104
Aguascalientes,01,Jesús María,01005,Lerma-Santiago-Pacífico,VIII,Rio Santiago,16,D1,2020-11-16,2021-04-15,150
Aguascalientes,01,Jesús María,01005,Lerma-Santiago-Pacífico,VIII,Rio Santiago,16,D2,2011-04-01,2011-06-30,90
Aguascalientes,01,Jesús María,01005,Lerma-Santiago-Pacífico,VIII,Rio Santiago,16,D3,2024-01-01,2024-07-15,196
Aguascalientes,01,Jesús María,01005,Lerma-Santiago-Pacífico,VIII,Rio Santiago,16,D4,2011-11-01,2011-12-31,60
Aguascalientes,01,Jesús María,01005,Lerma-Santiago-Pacífico,VIII,Rio Santiago,16,Sin sequia,2003-01-01,2005-05-31,881
Aguascalientes,01,Pabellón de Arteaga,01006,Lerma-Santiago-Pacífico,VIII,Rio Santiago,16,D0,2009-07-01,2009-11-30,152
Aguascalientes,01,Pabellón de Arteaga,01006,Lerma-Santiago-Pacífico,VIII,Rio Santiago,16,D1,2008-03-01,2008-06-30,121
Aguascalientes,01,Pabellón de Arteaga,01006,Lerma-Santiago-Pacífico,VIII,Rio Santiago,16,D2,2011-04-01,2011-06-30,90
Aguascalientes,01,Pabellón de Arteaga,01006,Lerma-Santiago-Pacífico,VIII,Rio Santiago,16,D3,2023-06-16,2023-11-30,167
Aguascalientes,01,Pabellón de Arteaga,01006,Lerma-Santiago-Pacífico,VIII,Rio Santiago,16,Sin sequia,2003-01-01,2005-05-31,881
Aguascalientes,01,Rincón de Romos,01007,Lerma-Santiago-Pacífico,VIII,Rio Santiago,16,D0,2017-02-01,2017-05-15,103
Aguascalientes,01,Rincón de Romos,01007,Lerma-Santiago-Pacífico,VIII,Rio Santiago,16,D1,2019-05-16,2019-10-31,168
Aguascalientes,01,Rincón de Romos,01007,Lerma-Santiago-Pacífico,VIII,Rio Santiago,16,D2,2021-03-16,2021-06-15,91
Aguascalientes,01,Rincón de Romos,01007,Lerma-Santiago-Pacífico,VIII,Rio Santiago,16,D3,2023-06-16,2023-11-30,167
Aguascalientes,01,Rincón de Romos,01007,Lerma-Santiago-Pacífico,VIII,Rio Santiago,16,Sin sequia,2003-01-01,2005-05-31,881
Aguascalientes,01,San José de Gracia,01008,Lerma-Santiago-Pacífico,VIII,Rio Santiago,16,D0,2017-02-01,2017-05-15,103
Aguascalientes,01,San José de Gracia,01008,Lerma-Santiago-Pacífico,VIII,Rio Santiago,16,D1,2008-03-01,2008-06-30,121
Aguascalientes,01,San José de Gracia,01008,Lerma-Santiago-Pacífico,VIII,Rio Santiago,16,D2,2011-04-01,2011-06-30,90
Aguascalientes,01,San José de Gracia,01008,Lerma-Santiago-Pacífico,VIII,Rio Santiago,16,D3,2023-06-16,2024-07-15,395
Aguascalientes,01,San José de Gracia,01008,Lerma-Santiago-Pacífico,VIII,Rio Santiago,16,Sin sequia,2003-01-01,2005-05-31,881
Aguascalientes,01,Tepezalá,01009,Lerma-Santiago-Pacífico,VIII,Rio Santiago,16,D0,2012-05-01,2012-07-31,91
Aguascalientes,01,Tepezalá,01009,Lerma-Santiago-Pacífico,VIII,Rio Santiago,16,D1,2022-03-16,2022-08-31,168
Aguascalientes,01,Tepezalá,01009,Lerma-Santiago-Pacífico,VIII,Rio Santiago,16,D2,2011-04-01,2011-06-30,90
Aguascalientes,01,Tepezalá,01009,Lerma-Santiago-Pacífico,VIII,Rio Santiago,16,D3,2023-06-16,2023-11-15,152
Aguascalientes,01,Tepezalá,01009,Lerma-Santiago-Pacífico,VIII,Rio Santiago,16,Sin sequia,2003-01-01,2005-05-31,881
Aguascalientes,01,El Llano,01010,Lerma-Santiago-Pacífico,VIII,Rio Santiago,16,D0,2009-07-01,2009-11-30,152
Aguascalientes,01,El Llano,01010,Lerma-Santiago-Pacífico,VIII,Rio Santiago,16,D1,2022-03-01,2022-05-31,91
Aguascalientes,01,El Llano,01010,Lerma-Santiago-Pacífico,VIII,Rio Santiago,16,D2,2023-03-01,2023-06-30,121
Aguascalientes,01,El Llano,01010,Lerma-Santiago-Pacífico,VIII,Rio Santiago,16,D3,2011-09-01,2012-01-31,152
Aguascalientes,01,El Llano,01010,Lerma-Santiago-Pacífico,VIII,Rio Santiago,16,Sin sequia,2003-01-01,2005-05-31,881
Aguascalientes,01,San Francisco de los Romo,01011,Lerma-Santiago-Pacífico,VIII,Rio Santiago,16,D0,2009-07-01,2009-11-30,152
Aguascalientes,01,San Francisco de los Romo,01011,Lerma-Santiago-Pacífico,VIII,Rio Santiago,16,D1,2020-11-16,2021-04-15,150
